"","State","County","Census_Pop_2020","Population_Estimate_2023","Births_2023","Deaths_2023"
"142","AR","Hot Spring County",33040,33258,304,475
"143","AR","Howard County",12785,12533,139,175
"144","AR","Independence County",37938,38320,474,487
"145","AR","Izard County",13577,14169,113,238
"146","AR","Jackson County",16755,16784,157,252
"147","AR","Jefferson County",67260,63661,723,916
"148","AR","Johnson County",25749,26129,296,334
"149","AR","Lafayette County",6308,6095,42,106
"150","AR","Lawrence County",16216,16318,192,239
"151","AR","Lee County",8600,8201,82,139
"152","AR","Lincoln County",12941,12898,100,170
"153","AR","Little River County",12026,11805,95,194
"154","AR","Logan County",21131,21400,260,362
"155","AR","Lonoke County",74015,75944,886,789
"156","AR","Madison County",16521,17775,217,248
"157","AR","Marion County",16826,17514,137,301
"158","AR","Miller County",42600,42415,356,573
"159","AR","Mississippi County",40685,38663,526,571
"160","AR","Monroe County",6799,6512,86,134
"161","AR","Montgomery County",8484,8620,80,162
"162","AR","Nevada County",8310,8120,75,121
"163","AR","Newton County",7225,7071,67,123
"164","AR","Ouachita County",22650,21793,247,370
"165","AR","Perry County",10019,10184,99,151
"166","AR","Phillips County",16568,14961,208,278
"167","AR","Pike County",10171,10208,113,170
"168","AR","Poinsett County",22965,22397,292,398
"169","AR","Polk County",19221,19436,202,316
"170","AR","Pope County",63381,64593,729,682
"171","AR","Prairie County",8282,8036,79,143
"172","AR","Pulaski County",399125,400009,5002,4064
"173","AR","Randolph County",18571,18907,246,265
"174","AR","St. Francis County",23090,22101,269,329
"175","AR","Saline County",123416,129574,1414,1385
"176","AR","Scott County",9836,9851,122,178
"177","AR","Searcy County",7828,7806,74,154
"178","AR","Sebastian County",127799,129098,1604,1511
"179","AR","Sevier County",15839,15632,180,201
"180","AR","Sharp County",17271,17968,180,302
"181","AR","Stone County",12359,12671,126,220
"182","AR","Union County",39054,37397,462,573
"183","AR","Van Buren County",15796,16142,140,298
"184","AR","Washington County",245871,261549,3279,1869
"185","AR","White County",76822,78452,902,990
"186","AR","Woodruff County",6269,5964,70,102
"187","AR","Yell County",20263,20044,254,277
"188","CA","Alameda County",1682353,1622188,16418,10571
"189","CA","Alpine County",1204,1141,7,22
"190","CA","Amador County",40474,41811,331,553
"191","CA","Butte County",211632,207172,1947,2388
"192","CA","Calaveras County",45292,46565,376,594
"193","CA","Colusa County",21839,22037,283,188
"194","CA","Contra Costa County",1165927,1155025,11573,8599
"195","CA","Del Norte County",27743,26589,236,359
"196","CA","El Dorado County",191185,192215,1495,1748
"197","CA","Fresno County",1008654,1017162,13879,8384
"198","CA","Glenn County",28917,28129,354,327
"199","CA","Humboldt County",136463,133985,1225,1566
"200","CA","Imperial County",179702,179057,2424,1403
"201","CA","Inyo County",19016,18527,161,222
"202","CA","Kern County",909235,913820,12077,7622
"203","CA","Kings County",152486,152682,2084,1116
"204","CA","Lake County",68163,67878,683,972
"205","CA","Lassen County",32730,28861,264,287
"206","CA","Los Angeles County",10014009,9663345,95354,73138
"207","CA","Madera County",156255,162858,2078,1419
"208","CA","Marin County",262321,254407,2255,2088
"209","CA","Mariposa County",17131,16919,145,225
"210","CA","Mendocino County",91601,89108,856,1013
"211","CA","Merced County",281202,291920,3787,2169
"212","CA","Modoc County",8700,8500,34,115
"213","CA","Mono County",13195,13066,114,61
"214","CA","Monterey County",439035,430723,5548,2857
"215","CA","Napa County",138019,133216,1167,1262
"216","CA","Nevada County",102241,102037,741,1110
"217","CA","Orange County",3186989,3135755,30677,22619
"218","CA","Placer County",404739,423561,3607,3803
"219","CA","Plumas County",19790,19131,145,216
"220","CA","Riverside County",2418185,2492442,27497,20536
"221","CA","Sacramento County",1585055,1584288,17698,13202
"222","CA","San Benito County",64209,68175,850,462
"223","CA","San Bernardino County",2181654,2195611,26188,17486
"224","CA","San Diego County",3298634,3269973,37145,24263
"225","CA","San Francisco County",873965,808988,7240,6200
"226","CA","San Joaquin County",779233,800965,9570,6313
"227","CA","San Luis Obispo County",282424,281639,2389,2563
"228","CA","San Mateo County",764442,726353,7394,4872
"229","CA","Santa Barbara County",448229,441257,5560,3423
"230","CA","Santa Clara County",1936259,1877592,18707,10741
"231","CA","Santa Cruz County",270861,261547,2261,1903
"232","CA","Shasta County",182155,180366,1734,2543
"233","CA","Sierra County",3236,3200,23,34
"234","CA","Siskiyou County",44076,42905,323,644
"235","CA","Solano County",453491,449218,4792,3819
"236","CA","Sonoma County",488863,481812,4480,4388
"237","CA","Stanislaus County",552878,551430,7077,5013
"238","CA","Sutter County",99633,97948,1181,945
"239","CA","Tehama County",65829,64896,745,870
"240","CA","Trinity County",16112,15670,100,188
"241","CA","Tulare County",473117,479468,6746,3712
"242","CA","Tuolumne County",55620,54204,437,791
"243","CA","Ventura County",843843,829590,8581,6524
"244","CA","Yolo County",216403,220544,1900,1507
"245","CA","Yuba County",81575,85722,1177,746
"246","CO","Adams County",519572,533365,6534,3680
"247","CO","Alamosa County",16376,16655,191,183
"248","CO","Arapahoe County",655070,656061,7639,4633
"249","CO","Archuleta County",13359,14189,104,146
"250","CO","Baca County",3506,3344,30,75
"251","CO","Bent County",5650,5681,39,73
"252","CO","Boulder County",330758,326831,2486,2038
"253","CO","Broomfield County",74112,76860,643,461
"254","CO","Chaffee County",19476,20617,150,184
"255","CO","Cheyenne County",1748,1727,14,26
"256","CO","Clear Creek County",9397,9147,54,69
"257","CO","Conejos County",7461,7521,99,107
"258","CO","Costilla County",3499,3628,33,60
"259","CO","Crowley County",5922,5636,29,67
"260","CO","Custer County",4704,5534,41,61
"261","CO","Delta County",31196,31746,273,475
"262","CO","Denver County",715522,716577,8632,4981
"263","CO","Dolores County",2326,2513,19,35
"264","CO","Douglas County",357978,383906,3812,1954
"265","CO","Eagle County",55731,54381,515,185
